@@,item,itemlabel,startdate,enddate
->,Q12604661,신태영 (1891년)->신태영,1949-10-01,1950-04-09
->,Q14553893,이종찬 (1916년)->이종찬,1951-06-23,1952-07-22
->,Q12588181,김용배 (1923년)->김용배,1965-04-01,1966-09-01
->,Q12613293,이희성 (동음이의)->이희성,1979-12-13,1981-12-15
->,Q23722545,김진영 (1938년)->김진영,1991-12-06,1993-03-08
->,Q60256280,김판규 (1943년)->김판규,2001-10-13,2003-04-06
->,Q12587567,김상기 (1952년)->김상기,2010-12-16,2012-10-11
->,Q40395593,김용우 (1961년)->김용우,2017-08-11,2019-04-16
->,Q61117556,서욱,2019-04->2019-04-16,2020-09->2020-09-18
->,Q56379374,남영신 (군인)->남영신,2020-09-23,2022-05-25
->,Q112132653,박정환,2022-05-26,NULL->2022-05-26
