position,title
Q22971123,Acting President
Q485140,First Lady
Q12592418,Deputy Minister of Economy and Finance
Q12592510,Vice Foreign Minister
Q14850722,Secretary General of National Assembly
Q105036741,Head of the Corruption Investigation Office
Q105107003,Deputy director of the Corruption Investigation Office
Q102722649,ambassador to Austria
Q107452718,ambassador to Bangladesh
Q26903172,ambassador to Canada
Q26903171,ambassador to France
Q112632307,ambassador to Germany
Q107731776,ambassador to Hungary
Q48136428,ambassador to Japan
Q107490983,ambassador to the Russian Federation
Q112632328,ambassador to Sri Lanka
Q26903128,ambassador to Taiwan
Q108598410,ambassador to the United States
Q12592564,President of the Constitutional Court
Q277239,Chief Justice
Q12592425,Supreme Court Justice
Q16176317,Deputy Speaker of the National Assembly
Q16178337,Chief of Staff of the Air Force
Q21710227,Chief of Staff of the Army
Q16177560,Chief of Naval Operations
Q12583022,Governor of Gangwon Province
Q12583545,Governor of Gyeonggi Province
Q12616500,Governor of Jeju Province
Q16179407,Governor of North Chungcheong Province
Q12583736,Governor of North Gyeongsang Province
Q16179389,Governor of North Jeolla Province
Q16174818,Governor of South Chungcheong Province
Q55775219,Governor of South Chungcheong Province
Q12583713,Governor of South Gyeongsang Province
Q12615101,Governor of South Jeolla Province
Q50265926,Mayor of Busan
Q12591238,Mayor of Daegu
Q16178406,Mayor of Incheon
Q50274663,Mayor of Sejong City
Q50275527,Mayor of Seoul City
Q16164892,Mayor of Ulsan
